,intelligence,strength,speed,durability,power,combat,name,race,alignment
1,50,48,50,70,71,70,Arachne,Human,good
2,75,13,33,30,36,100,Black Widow,Human,good
3,50,8,20,28,77,64,Blink,Mutant,good
4,84,88,71,95,100,90,Captain Marvel,Human-Kree,good
5,63,32,33,95,52,70,Elastigirl,Human,good
6,63,11,30,28,59,100,Elektra,Human,good
7,88,10,27,85,93,56,Invisible Woman,Human / Radiation,good
8,94,80,21,20,92,70,Jean Grey,Mutant,good
9,56,44,50,70,18,55,Jessica Jones,Human,good
10,56,8,22,20,66,90,Jubilee,Mutant,good
11,63,100,46,100,100,45,Hela,Asgardian,bad
12,56,62,79,60,92,80,Mera,Atlantean,good
13,75,12,23,64,64,74,Mystique,Mutant,bad
14,50,7,8,10,45,35,Negasonic Teenage Warhead,Mutant,good
15,81,14,21,40,100,40,Poison Ivy,Human,bad
16,88,95,75,100,98,90,Faora,Kryptonian,bad
17,63,90,67,80,100,70,Sif,Asgardian,good
18,75,48,71,70,71,65,Silk,Human,good
19,63,38,60,65,53,75,Spider-Girl,Human,good
20,50,80,33,85,59,70,Starfire,Tamaranean,good
21,100,10,29,70,100,80,Scarlet Witch,Mutant,good
22,50,10,29,70,84,40,Raven,Human,neutral
23,63,33,25,40,100,90,Psylocke,Mutant,good
24,63,60,100,100,100,35,Nova,Human / Cosmic,good
25,63,28,42,70,48,60,Buffy,Human,good
26,88,100,79,100,100,100,Wonder Woman,Amazon,good
27,63,17,58,52,29,42,Wasp,Human,good
,75,11,23,28,19,76,Oracle,Human,good
,100,100,83,100,100,80,Phoenix,Mutant,good
,88,12,33,65,55,80,Harley Quinn,Human,bad
,38,6,83,14,53,14,Luna,Human,good
,81,100,42,100,42,70,She-Hulk,Human,good
,56,62,79,60,92,60,Siren,Atlantean,bad
,94,100,100,100,100,75,Supergirl,Kryptonian,good
,69,11,33,28,27,85,Catwoman,Human,good
,56,37,33,40,20,40,Bionic Woman,Cyborg,good
,75,63,50,50,100,50,Indigo,Alien,neutral
,56,9,13,50,79,15,Violet Parr,Human,good
,50,38,50,50,62,25,Vixen,Human,good
,75,90,25,80,39,60,Wonder Girl,Demi-God,good
,81,10,23,28,100,56,Zatanna,Human,good
,75,34,35,70,37,56,Medusa,Inhuman,good
,38,8,42,20,32,70,Cheetah,Human,bad
,75,85,42,85,53,100,Gamora,Zen-Whoberian,good
,56,7,29,20,27,65,Hit-Girl,Human,good
,56,8,21,25,24,55,Katniss Everdeen,Human,good
,63,80,25,90,87,55,Stargirl,Human,good
,63,52,13,50,42,60,Nebula,Luphomoid,bad
